origem,destino,valor
ABREOLANDIA,AEROLANDIA,40.0
ABREOLANDIA,ALDEOTA,40.0
ABREOLANDIA,ALTO ALEGRE (MESSEJANA),30.0
ABREOLANDIA,BEIRA MAR,50.0
ABREOLANDIA,CIDADE DOS FUNCIONARIOS,22.0
ABREOLANDIA,CONJUNTO ESPERANCA,50.0
ABREOLANDIA,ELISABETE II,30.0
ABREOLANDIA,JEREISSATI I,60.0
ABREOLANDIA,JOSE WALTER,35.0
ABREOLANDIA,MESSEJANA,25.0
ABREOLANDIA,MONTESE,40.0
ABREOLANDIA,SANTA FILOMENA,30.0
ABREOLANDIA,SANTA MARIA MESSEJANA,30.0
ABREOLANDIA,SAO CRISTOVAO,30.0
ABREOLANDIA,SAO JOAO DO TAUAPE,30.0
ABREOLANDIA,SHOPPING JOQUEI,50.0
ACADEMIA FORMA ATLETICA,AEROLANDIA,8.0
ACADEMIA FORMA ATLETICA,MESSEJANA,20.0
ACADEMIA FORMA ATLETICA,SAO JOAO DO TAUAPE,5.0
ACARACUZINHO (MARACANAU),ALDEOTA,45.0
ACARACUZINHO (MARACANAU),ALTO ALEGRE (MESSEJANA),35.0
ACARACUZINHO (MARACANAU),ALTO DA MANGUEIRA,15.0
ACARACUZINHO (MARACANAU),ANTONIO BEZERRA,40.0
ACARACUZINHO (MARACANAU),ASSAI ( MARACANAU ),15.0
ACARACUZINHO (MARACANAU),BARROSO I,35.0
ACARACUZINHO (MARACANAU),BEIRA MAR,50.0
ACARACUZINHO (MARACANAU),BOM JARDIM,25.0
ACARACUZINHO (MARACANAU),BONSUCESSO,40.0
ACARACUZINHO (MARACANAU),CASTELAO,30.0
ACARACUZINHO (MARACANAU),CEASA,15.0
ACARACUZINHO (MARACANAU),CENTRO,45.0
ACARACUZINHO (MARACANAU),COLONIA(MARACANAU),17.0
ACARACUZINHO (MARACANAU),CONJUNTO ESPERANCA,25.0
ACARACUZINHO (MARACANAU),GRANJA PORTUGAL,30.0
ACARACUZINHO (MARACANAU),HORTO (MARACANAU),20.0
ACARACUZINHO (MARACANAU),HOSPITAL MARACANAU,15.0
ACARACUZINHO (MARACANAU),JEREISSATI I,15.0
ACARACUZINHO (MARACANAU),JEREISSATI II,15.0
ACARACUZINHO (MARACANAU),JEREISSATI III,18.0
ACARACUZINHO (MARACANAU),JOQUEI CLUB,40.0
ACARACUZINHO (MARACANAU),JOSE WALTER,20.0
ACARACUZINHO (MARACANAU),MARACANAU (MARACANAU),15.0
ACARACUZINHO (MARACANAU),MARANGUAPE,30.0
ACARACUZINHO (MARACANAU),MARAPONGA,30.0
ACARACUZINHO (MARACANAU),MEIRELES,50.0
ACARACUZINHO (MARACANAU),MESSEJANA,35.0
ACARACUZINHO (MARACANAU),MONTESE,35.0
ACARACUZINHO (MARACANAU),NORTH SHOPPING MARACANAU,15.0
ACARACUZINHO (MARACANAU),NOVO MARACANAU,15.0
ACARACUZINHO (MARACANAU),PACATUBA,30.0
ACARACUZINHO (MARACANAU),PAJUCARA (MARACANAU),20.0
ACARACUZINHO (MARACANAU),PARANGABA,35.0
ACARACUZINHO (MARACANAU),PARQUE IRACEMA,35.0
ACARACUZINHO (MARACANAU),PIRATININGA(MARACANAU),15.0
ACARACUZINHO (MARACANAU),PRAIA DE IRACEMA,50.0
ACARACUZINHO (MARACANAU),RODOLFO TEOFILO,35.0
ACARACUZINHO (MARACANAU),RODOVIARIA (BORGE DE MELO),45.0
ACARACUZINHO (MARACANAU),SAO CRISTOVAO,35.0
ACARACUZINHO (MARACANAU),SAO JOAO DO TAUAPE,45.0
ACARACUZINHO (MARACANAU),SERRINHA,35.0
ACARACUZINHO (MARACANAU),SHOPPING RIO MAR (PAPICU),70.0
ACARACUZINHO (MARACANAU),SIQUEIRA I,25.0
ACARACUZINHO (MARACANAU),TIMBO (MARACANAU),15.0
ACARAPE,ALTO ALEGRE (MESSEJANA),90.0
ACARAPE,ALTO DA MANGUEIRA,70.0
ACARAPE,BANDEIRANTES (MARACANAU),70.0
ACARAPE,JEREISSATI I,70.0
ACARAPE,JEREISSATI II,70.0
ACARAPE,JEREISSATI III,70.0
ACARAPE,JOSE WALTER,100.0
ACARAPE,MESSEJANA,90.0
ACARAPE,NOVO MARACANAU,70.0
ACARAPE,PAJUCARA (MARACANAU),70.0
ACARAPE,PIRATININGA(MARACANAU),70.0
ACARAPE,PLANALTO AYRTON SENNA,100.0
ACARAPE,SIQUEIRA I,20.0
ACARAPE,TIMBO (MARACANAU),70.0
AEROLANDIA,ABREOLANDIA,40.0
AEROLANDIA,ACADEMIA FORMA ATLETICA,8.0
AEROLANDIA,AEROLANDIA,5.0
AEROLANDIA,AEROLANDIA,5.0
AEROLANDIA,AEROPORTO,20.0
AEROLANDIA,ALDEOTA,15.0
AEROLANDIA,ALTO ALEGRE (MESSEJANA),25.0
AEROLANDIA,ANTONIO BEZERRA,30.0
AEROLANDIA,AQUIRAZ,50.0
AEROLANDIA,ARACAPE,30.0
AEROLANDIA,BAIRRO DE FATIMA,12.0
AEROLANDIA,BARRA DO CEARA,30.0
AEROLANDIA,BARROSO I,20.0
AEROLANDIA,BASE AEREA (FORTALEZA),10.0
AEROLANDIA,BATALHAO 23 BC (13 DE MAIO ),15.0
AEROLANDIA,BEACH PARK,40.0
AEROLANDIA,BEIRA MAR,20.0
AEROLANDIA,BELA VISTA,20.0
AEROLANDIA,BENFICA,15.0
AEROLANDIA,BOM JARDIM,30.0
AEROLANDIA,CACA E PESCA,25.0
AEROLANDIA,CAIS DO PORTO,20.0
AEROLANDIA,CAJAZEIRAS,15.0
AEROLANDIA,CAMBEBA,17.0
AEROLANDIA,CARLITO PAMPLONA,25.0
AEROLANDIA,CARREFOUR (BARAO DE STUDART),15.0
AEROLANDIA,CASTELAO,15.0
AEROLANDIA,CASTELO ENCANTADO,20.0
AEROLANDIA,CENTRO,15.0
AEROLANDIA,CENTRO DE CONVECOES (WASHINGTON SOARES),15.0
AEROLANDIA,CIDADE 2000,20.0
AEROLANDIA,CIDADE DOS FUNCIONARIOS,15.0
AEROLANDIA,COACU,25.0
AEROLANDIA,COCO,15.0
AEROLANDIA,COLEGIO ATRIUS SJT,8.0
AEROLANDIA,CONJUNTO CEARA ,35.0
AEROLANDIA,CONJUNTO ESPERANCA,30.0
AEROLANDIA,CONJUNTO PALMEIRAS,25.0
AEROLANDIA,CRISTO REDENTOR,25.0
AEROLANDIA,CURIO,25.0
AEROLANDIA,DAMAS,18.0
AEROLANDIA,DE LOURDES,20.0
AEROLANDIA,DEMOCRITO ROCHA,20.0
AEROLANDIA,DIAS MACEDO,10.0
AEROLANDIA,DIONISIO TORRES,15.0
AEROLANDIA,DRAGAO DO MAR,20.0
AEROLANDIA,EDSON QUEIROZ,20.0
AEROLANDIA,EUSEBIO,40.0
AEROLANDIA,EXTRA (AGUANAMBI),12.0
AEROLANDIA,FARIAS BRITO,20.0
AEROLANDIA,FAROESTE,35.0
AEROLANDIA,FORUM (CLOVIS BEVILAQUA),15.0
AEROLANDIA,GAMEC ( CLINICA 13 MAIO ),15.0
AEROLANDIA,G BARBOSA (BORGES DE MELO),10.0
AEROLANDIA,GUARARAPES,15.0
AEROLANDIA,GVT (PONTES VIEIRA),8.0
AEROLANDIA,HEMOCE,20.0
AEROLANDIA,HENRIQUE JORGE,25.0
AEROLANDIA,HIPER BOMPRECO (BEZERRA),20.0
AEROLANDIA,HIPER BOMPRECO (BORGE DE MELO),12.0
AEROLANDIA,HOSPITAL ALBERT SABIEN,15.0
AEROLANDIA,HOSPITAL ANTONIO PRUDENTE (AGUANAMBI),10.0
AEROLANDIA,HOSPITAL DO CORACAO (MESSEJANA),20.0
AEROLANDIA,HOSPITAL FROTINHA DA PARANGABA,25.0
AEROLANDIA,HOSPITAL FROTINHA DE MESSEJANA,20.0
AEROLANDIA,HOSPITAL GERAL,18.0
AEROLANDIA,HOSPITAL GONZAGUINHA MESSEJANA,20.0
AEROLANDIA,HOSPITAL ICC (JOSE BASTOS),20.0
AEROLANDIA,HOSPITAL SAO MATEUS,18.0
AEROLANDIA,HOSPITAL UNIMED (PEDIATRIA),12.0
AEROLANDIA,ICARAI,60.0
AEROLANDIA,IGREJA CATOLICA (M. SALAZAR),8.0
AEROLANDIA,IGREJA DE FATIMA,12.0
AEROLANDIA,ITAMARATY,25.0
AEROLANDIA,ITAPERI,25.0
AEROLANDIA,JACARECANGA,25.0
AEROLANDIA,JANGURUSSU,25.0
AEROLANDIA,JARDIM DAS OLIVEIRAS,15.0
AEROLANDIA,JARDIM IRACEMA,35.0
AEROLANDIA,JATOBA,45.0
AEROLANDIA,JEREISSATI I,45.0
AEROLANDIA,JEREISSATI II,45.0
AEROLANDIA,JOAO XXIII,25.0
AEROLANDIA,JOAQUIM TAVORA,10.0
AEROLANDIA,JOSE BONIFACIO,15.0
AEROLANDIA,JOSE WALTER,20.0
AEROLANDIA,KUKUKAYA,10.0
AEROLANDIA,LAGOA REDONDA,30.0
AEROLANDIA,LAGO DO JACAREY (CAMBEBA),15.0
AEROLANDIA,LEBLON (OSORIO DE PAIVA),28.0
AEROLANDIA,LUCIANO CAVALCANTE,12.0
AEROLANDIA,MARACANAU (MARACANAU),40.0
AEROLANDIA,MARAPONGA,25.0
AEROLANDIA,MARAPONGA MART MODA,25.0
AEROLANDIA,MARINA PARK,20.0
AEROLANDIA,MEIRELES,15.0
AEROLANDIA,MESSEJANA,20.0
AEROLANDIA,MONDUBIM,25.0
AEROLANDIA,MONTE CASTELO,25.0
AEROLANDIA,MONTESE,15.0
AEROLANDIA,MOTEL SHANADU,8.0
AEROLANDIA,MOURA BRASIL,20.0
AEROLANDIA,MUCURIPE,18.0
AEROLANDIA,MUCURIPE CLUBE,20.0
AEROLANDIA,NAMI (UNIFOR),15.0
AEROLANDIA,NORTH SHOPPING (BEZERRA),25.0
AEROLANDIA,PAJUCARA (MARACANAU),35.0
AEROLANDIA,PAN-AMERICANO,25.0
AEROLANDIA,PAPICU,18.0
AEROLANDIA,PARANGABA,20.0
AEROLANDIA,PARQUE ARAXA,20.0
AEROLANDIA,PARQUE DOIS IRMAOS,20.0
AEROLANDIA,PARQUELANDIA,20.0
AEROLANDIA,PARQUE MANIBURA,15.0
AEROLANDIA,PARQUE RECREIO (RUI BARBOSA),12.0
AEROLANDIA,PARQUE SANTA ROSA (APOLO XI),40.0
AEROLANDIA,PARREAO,15.0
AEROLANDIA,PASSARE,20.0
AEROLANDIA,PIEDADE,13.0
AEROLANDIA,PIRAMBU,25.0
AEROLANDIA,PLANALTO AYRTON SENNA,25.0
AEROLANDIA,PRAIA DA COFECO,40.0
AEROLANDIA,PRAIA DE IRACEMA,20.0
AEROLANDIA,PRAIA DO CUMBUCO,60.0
AEROLANDIA,PRAIA DO FUTURO,20.0
AEROLANDIA,PRAIA SABIAGUABA,25.0
AEROLANDIA,RESTAURANTE BRASEIRO ( SAO JOAO TAUAPE),8.0
AEROLANDIA,RESTAURANTE CARNE DE RUSSAS,12.0
AEROLANDIA,RODOLFO TEOFILO,20.0
AEROLANDIA,RODOVIARIA (BORGE DE MELO),12.0
AEROLANDIA,SALINAS,12.0
AEROLANDIA,SANTA FE,20.0
AEROLANDIA,SANTA FILOMENA,25.0
AEROLANDIA,SANTA MARIA MESSEJANA,25.0
AEROLANDIA,SANTA ROSA (MESSEJANA),25.0
AEROLANDIA,SAO CRISTOVAO,25.0
AEROLANDIA,SAO GERARDO,25.0
AEROLANDIA,SAO JOAO DO TAUAPE,8.0
AEROLANDIA,SAPIRANGA (COITE),25.0
AEROLANDIA,SERPRO (PONTES VIEIRA),8.0
AEROLANDIA,SERRINHA,18.0
AEROLANDIA,SHOPPING AVENIDA,15.0
AEROLANDIA,SHOPPING BENFICA,15.0
AEROLANDIA,SHOPPING CENTER UM,15.0
AEROLANDIA,SHOPPING DEL PASEO,15.0
AEROLANDIA,SHOPPING DIOGO (CENTRO),15.0
AEROLANDIA,SHOPPING IGUATEMI,15.0
AEROLANDIA,SHOPPING JOQUEI,25.0
AEROLANDIA,SHOPPING MARACANAU,40.0
AEROLANDIA,SHOPPING PARANGABA,20.0
AEROLANDIA,SHOPPING PATIO DOM LUIZ,15.0
AEROLANDIA,SHOPPING RIO MAR (PAPICU),20.0
AEROLANDIA,SHOPPING SALINAS,15.0
AEROLANDIA,SHOPPING VIA SUL,20.0
AEROLANDIA,SIARA HALL,20.0
AEROLANDIA,SIQUEIRA I,30.0
AEROLANDIA,SITIO CORREGO,25.0
AEROLANDIA,SITIO SAO JOAO,20.0
AEROLANDIA,TAMANDARE,25.0
AEROLANDIA,TANCREDO NEVES,12.0
AEROLANDIA,TAPERA ( AQUIRAZ ),60.0
AEROLANDIA,TAPIOQUEIRA,30.0
AEROLANDIA,UNIFOR,15.0
AEROLANDIA,UPA GENIBAU,30.0
AEROLANDIA,UPA ITAPERY,20.0
AEROLANDIA,UPA JOSE WALTER,20.0
AEROLANDIA,VARJOTA,18.0
AEROLANDIA,VICENTE PINZON,20.0
AEROLANDIA,VILA ELLERY,25.0
AEROLANDIA,VILA PERY,25.0
AEROLANDIA,VILA UNIAO,12.0
AEROPORTO,AEROLANDIA,20.0
AEROPORTO,ALDEOTA,25.0
AEROPORTO,ALTO ALEGRE (MESSEJANA),25.0
AEROPORTO,ALVARO WEYNE,35.0
AEROPORTO,ANTONIO BEZERRA,25.0
AEROPORTO,AQUIRAZ,50.0
AEROPORTO,ARACAPE,30.0
AEROPORTO,ARACATI,200.0
AEROPORTO,BAIRRO DE FATIMA,20.0
AEROPORTO,BARRA DO CEARA,35.0
AEROPORTO,BEACH PARK,50.0
AEROPORTO,BEIRA MAR,30.0
AEROPORTO,BELA VISTA,20.0
AEROPORTO,BENFICA,25.0
AEROPORTO,BONSUCESSO,30.0
AEROPORTO,CAIS DO PORTO,30.0
AEROPORTO,CAJAZEIRAS,25.0
AEROPORTO,CAMBEBA,25.0
AEROPORTO,CANINDEZINHO,30.0
AEROPORTO,CARLITO PAMPLONA,30.0
AEROPORTO,CASTELAO,20.0
AEROPORTO,CAUCAIA,50.0
AEROPORTO,CENTRO,25.0
AEROPORTO,CENTRO DE CONVECOES (WASHINGTON SOARES),25.0
AEROPORTO,CIDADE 2000,25.0
AEROPORTO,CIDADE DOS FUNCIONARIOS,20.0
AEROPORTO,COCO,30.0
AEROPORTO,CONJUNTO CEARA ,35.0
AEROPORTO,CONJUNTO ESPERANCA,25.0
AEROPORTO,CONJUNTO PALMEIRAS,25.0
AEROPORTO,CRISTO REDENTOR,35.0
AEROPORTO,DIONISIO TORRES,20.0
AEROPORTO,DRAGAO DO MAR,30.0
AEROPORTO,EDSON QUEIROZ,25.0
AEROPORTO,GRANJA PORTUGAL,27.0
AEROPORTO,GUAJERU,30.0
AEROPORTO,HENRIQUE JORGE,25.0
AEROPORTO,HOTEL MALIBU,30.0
AEROPORTO,ICARAI,60.0
AEROPORTO,INDUSTRIAL,35.0
AEROPORTO,JACARECANGA,30.0
AEROPORTO,JANGURUSSU,25.0
AEROPORTO,JARDIM DAS OLIVEIRAS,20.0
AEROPORTO,JARDIM GUANABARA,30.0
AEROPORTO,JARDIM IRACEMA,35.0
AEROPORTO,JARDIM UNIAO,20.0
AEROPORTO,JEREISSATI I,40.0
AEROPORTO,JEREISSATI II,40.0
AEROPORTO,JEREISSATI III,40.0
AEROPORTO,JOAQUIM TAVORA,20.0
AEROPORTO,JOQUEI CLUB,20.0
AEROPORTO,JOSE WALTER,20.0
AEROPORTO,LAGOA REDONDA,30.0
AEROPORTO,LUCIANO CAVALCANTE,20.0
AEROPORTO,MARACANAU (MARACANAU),40.0
AEROPORTO,MARAPONGA,20.0
AEROPORTO,MEIRELES,30.0
AEROPORTO,MESSEJANA,25.0
AEROPORTO,MONDUBIM,25.0
AEROPORTO,MONTE CASTELO,30.0
AEROPORTO,MONTESE,15.0
AEROPORTO,MUCURIPE,30.0
AEROPORTO,PADRE ANDRADE,30.0
AEROPORTO,PAPICU,25.0
AEROPORTO,PARANGABA,15.0
AEROPORTO,PARQUE DOIS IRMAOS,20.0
AEROPORTO,PARQUELANDIA,20.0
AEROPORTO,PARQUE MANIBURA,20.0
AEROPORTO,PARQUE SANTA ROSA (APOLO XI),25.0
AEROPORTO,PARQUE SAO JOSE,25.0
AEROPORTO,PARREAO,12.0
AEROPORTO,PASSARE,20.0
AEROPORTO,PECEM,100.0
AEROPORTO,PEDRAS,40.0
AEROPORTO,PIRATININGA(MARACANAU),40.0
AEROPORTO,PLANALTO AYRTON SENNA,20.0
AEROPORTO,PRAIA DE IRACEMA,30.0
AEROPORTO,PRAIA DO FUTURO,35.0
AEROPORTO,PRESIDENTE KENNEDY,30.0
AEROPORTO,QUINTINO CUNHA,30.0
AEROPORTO,RODOVIARIA (BORGE DE MELO),20.0
AEROPORTO,SANTA FILOMENA,30.0
AEROPORTO,SANTA MARIA MESSEJANA,25.0
AEROPORTO,SAO CRISTOVAO,25.0
AEROPORTO,SAO GERARDO,25.0
AEROPORTO,SAO JOAO DO TAUAPE,20.0
AEROPORTO,SAPIRANGA (COITE),30.0
AEROPORTO,SERRINHA,10.0
AEROPORTO,SHOPPING IGUATEMI,25.0
AEROPORTO,SHOPPING RIO MAR (PAPICU),25.0
AEROPORTO,SHOPPING VIA SUL,20.0
AEROPORTO,SIQUEIRA I,35.0
AEROPORTO,SITIO CORREGO,20.0
AEROPORTO,SITIO SAO JOAO,25.0
AEROPORTO,TAMANDARE,25.0
AEROPORTO,TESTE,35.0
AEROPORTO,VARJOTA,30.0
AEROPORTO,VICENTE PINZON,30.0
AEROPORTO,VILA ELLERY,30.0
AEROPORTO,VILA MANOEL SATIRO,30.0
AEROPORTO,VILA PERY,20.0
AEROPORTO,VILA UNIAO,15.0
AEROPORTO,VILA VELHA,35.0
AGUA FRIA,ALDEOTA,20.0
AGUA FRIA,CIDADE DOS FUNCIONARIOS,10.0
AGUA FRIA,JEREISSATI I,40.0
AGUA FRIA,JOSE WALTER,25.0
AGUA FRIA,PARQUE MANIBURA,10.0
AGUA FRIA,RODOLFO TEOFILO,30.0
ALAGADICO,ALDEOTA,25.0
ALAGADICO,ALTO ALEGRE (MESSEJANA),20.0
ALAGADICO,BAIRRO DE FATIMA,25.0
ALAGADICO,CIDADE DOS FUNCIONARIOS,15.0
ALAGADICO,CONJUNTO ESPERANCA,35.0
ALAGADICO,EDSON QUEIROZ,18.0
ALAGADICO,JARDIM DAS OLIVEIRAS,15.0
ALAGADICO,JEREISSATI I,40.0
ALAGADICO,JOSE DE ALENCAR,30.0
ALAGADICO,JOSE WALTER,25.0
ALAGADICO,LUCIANO CAVALCANTE,15.0
ALAGADICO,MESSEJANA,20.0
ALAGADICO,MONTESE,25.0
ALAGADICO,PARQUELANDIA,35.0
ALAGADICO,PARQUE MANIBURA,15.0
ALAGADICO,PAUPINA,25.0
ALAGADICO,SAO CRISTOVAO,20.0
ALAGADICO,SAO JOAO DO TAUAPE,25.0
ALAGADICO,SAPIRANGA (COITE),10.0
ALDEOTA,ABREOLANDIA,40.0
ALDEOTA,ACARACUZINHO (MARACANAU),45.0
ALDEOTA,AEROLANDIA,15.0
ALDEOTA,AEROPORTO,25.0
ALDEOTA,AGUA FRIA,20.0
ALDEOTA,ALAGADICO,25.0
ALDEOTA,ALDEOTA,10.0
ALDEOTA,ALDEOTA,15.0
ALDEOTA,ALTO ALEGRE (MESSEJANA),25.0
ALDEOTA,ALVARO WEYNE,23.0
ALDEOTA,ANCURI,40.0
ALDEOTA,ANTONIO BEZERRA,25.0
ALDEOTA,AQUIRAZ,50.0
ALDEOTA,ARACAPE,35.0
ALDEOTA,ARATURI,50.0
ALDEOTA,BAIRRO DE FATIMA,17.0
ALDEOTA,BARRA DO CEARA,25.0
ALDEOTA,BARROSO I,25.0
ALDEOTA,BEACH PARK,50.0
ALDEOTA,BEIRA MAR,15.0
ALDEOTA,BENFICA,20.0
ALDEOTA,BOM JARDIM,40.0
ALDEOTA,BONSUCESSO,30.0
ALDEOTA,CAGADO ( MARACANAU ),50.0
ALDEOTA,CAIS DO PORTO,20.0
ALDEOTA,CAJAZEIRAS,23.0
ALDEOTA,CAMBEBA,25.0
ALDEOTA,CANINDEZINHO,40.0
ALDEOTA,CARLITO PAMPLONA,20.0
ALDEOTA,CASTELAO,25.0
ALDEOTA,CAUCAIA,45.0
ALDEOTA,CENTRO,10.0
ALDEOTA,CIDADE 2000,20.0
ALDEOTA,CIDADE DOS FUNCIONARIOS,20.0
ALDEOTA,CIDADE NOVA,25.0
ALDEOTA,COCO,15.0
ALDEOTA,CONJUNTO CEARA ,35.0
ALDEOTA,CONJUNTO ESPERANCA,30.0
ALDEOTA,CONJUNTO PALMEIRAS,25.0
ALDEOTA,CRISTO REDENTOR,25.0
ALDEOTA,CURIO,30.0
ALDEOTA,DAMAS,20.0
ALDEOTA,DEMOCRITO ROCHA,25.0
ALDEOTA,DIAS MACEDO,20.0
ALDEOTA,DIONISIO TORRES,15.0
ALDEOTA,DRAGAO DO MAR,15.0
ALDEOTA,DUNAS,15.0
ALDEOTA,EDSON QUEIROZ,20.0
ALDEOTA,ELISABETE II,30.0
ALDEOTA,EUSEBIO,45.0
ALDEOTA,FACULDADE FANOR,15.0
ALDEOTA,GENIBAU,35.0
ALDEOTA,GENTILANDIA,15.0
ALDEOTA,GRANJA PORTUGAL,35.0
ALDEOTA,GUAIUBA,75.0
ALDEOTA,GUAJERU,25.0
ALDEOTA,GUARARAPES,15.0
ALDEOTA,HENRIQUE JORGE,30.0
ALDEOTA,HOSPITAL ALBERT SABIEN,20.0
ALDEOTA,HOSPITAL ANTONIO PRUDENTE (AGUANAMBI),10.0
ALDEOTA,HOSPITAL DA MULHER,30.0
ALDEOTA,ICARAI,50.0
ALDEOTA,INDUSTRIAL,35.0
ALDEOTA,ITAMARATY,25.0
ALDEOTA,ITAOCA,20.0
ALDEOTA,ITAPERI,25.0
ALDEOTA,JACARECANGA,20.0
ALDEOTA,JANGURUSSU,25.0
ALDEOTA,JARDIM AMERICA,17.0
ALDEOTA,JARDIM CEARENSE,30.0
ALDEOTA,JARDIM DAS OLIVEIRAS,20.0
ALDEOTA,JARDIM GUANABARA,30.0
ALDEOTA,JARDIM UNIAO,25.0
ALDEOTA,JEREISSATI I,45.0
ALDEOTA,JEREISSATI II,45.0
ALDEOTA,JOAO XXIII,32.0
ALDEOTA,JOAQUIM TAVORA,15.0
ALDEOTA,JOQUEI CLUB,30.0
ALDEOTA,JOSE BONIFACIO,15.0
ALDEOTA,JOSE DE ALENCAR,25.0
ALDEOTA,JOSE WALTER,25.0
ALDEOTA,LAGOA REDONDA,30.0
ALDEOTA,LEBLON (OSORIO DE PAIVA),30.0
ALDEOTA,LUCIANO CAVALCANTE,20.0
ALDEOTA,LUZARDO VIANA(MARACANAU),50.0
ALDEOTA,MANGABEIRA (EUSEBIO),35.0
ALDEOTA,MANUEL DIAS BRANCO,20.0
ALDEOTA,MARACANAU (MARACANAU),45.0
ALDEOTA,MARANGUAPE,0.01
ALDEOTA,MARAPONGA,25.0
ALDEOTA,MARINA PARK,15.0
ALDEOTA,MEIRELES,10.0
ALDEOTA,MESSEJANA,25.0
ALDEOTA,MONDUBIM,30.0
ALDEOTA,MONTE CASTELO,20.0
ALDEOTA,MONTENEGRO 2 (JOSE WALTER),25.0
ALDEOTA,MONTESE,20.0
ALDEOTA,MUCURIPE,15.0
ALDEOTA,MUSIQUE,30.0
ALDEOTA,NORTH SHOPPING (BEZERRA),20.0
ALDEOTA,PACAJUS,90.0
ALDEOTA,PAJUCARA (MARACANAU),40.0
ALDEOTA,PAPICU,15.0
ALDEOTA,PARANGABA,25.0
ALDEOTA,PARQUE ARAXA,20.0
ALDEOTA,PARQUE DOIS IRMAOS,25.0
ALDEOTA,PARQUE IRACEMA,25.0
ALDEOTA,PARQUELANDIA,20.0
ALDEOTA,PARQUE MANIBURA,20.0
ALDEOTA,PARQUE SANTA MARIA,25.0
ALDEOTA,PARQUE SANTANA,30.0
ALDEOTA,PARQUE SANTA ROSA (APOLO XI),35.0
ALDEOTA,PARQUE SAO JOSE,35.0
ALDEOTA,PASSARE,20.0
ALDEOTA,PAUPINA,25.0
ALDEOTA,PICI (PARQUE UNIVERSITARIO),30.0
ALDEOTA,PIRAMBU,25.0
ALDEOTA,PLANALTO AYRTON SENNA,25.0
ALDEOTA,PORTO DAS DUNAS,40.0
ALDEOTA,PRAIA DA PRAINHA,60.0
ALDEOTA,PRAIA DA TABUBA,50.0
ALDEOTA,PRAIA DE IRACEMA,10.0
ALDEOTA,PRAIA DO FUTURO,20.0
ALDEOTA,PRAIA SABIAGUABA,35.0
ALDEOTA,PRESIDENTE KENNEDY,25.0
ALDEOTA,QUINTINO CUNHA,30.0
ALDEOTA,RODOLFO TEOFILO,20.0
ALDEOTA,RODOVIARIA (BORGE DE MELO),20.0
ALDEOTA,SALINAS,20.0
ALDEOTA,SANTA FE,30.0
ALDEOTA,SANTA FILOMENA,25.0
ALDEOTA,SANTA MARIA MESSEJANA,25.0
ALDEOTA,SAO BENTO (MESSEJANA),30.0
ALDEOTA,SAO CRISTOVAO,25.0
ALDEOTA,SAO GERARDO,20.0
ALDEOTA,SAO JOAO DO TAUAPE,15.0
ALDEOTA,SAPIRANGA (COITE),25.0
ALDEOTA,SERRINHA,25.0
ALDEOTA,SHOPPING BENFICA,20.0
ALDEOTA,SHOPPING IGUATEMI,15.0
ALDEOTA,SHOPPING JOQUEI,25.0
ALDEOTA,SHOPPING VIA SUL,20.0
ALDEOTA,SIQUEIRA I,35.0
ALDEOTA,SITIO SAO JOAO,25.0
ALDEOTA,TABAPUA,40.0
ALDEOTA,TANCREDO NEVES,20.0
ALDEOTA,TESTE,1.0
ALDEOTA,TIMBO (MARACANAU),45.0
ALDEOTA,UNIFOR,20.0
ALDEOTA,URUCUTUBA,50.0
ALDEOTA,VARJOTA,15.0
ALDEOTA,VICENTE PINZON,15.0
ALDEOTA,VILA MANOEL SATIRO,30.0
ALDEOTA,VILA PERY,30.0
ALDEOTA,VILA UNIAO,20.0
ALDEOTA,VILA VELHA,30.0
ALTO ALEGRE II (MARACANAU),ALTO DA MANGUEIRA,17.0
ALTO ALEGRE II (MARACANAU),CASTELAO,35.0
ALTO ALEGRE II (MARACANAU),HORTO (MARACANAU),25.0
ALTO ALEGRE II (MARACANAU),HOSPITAL MARACANAU,17.0
ALTO ALEGRE II (MARACANAU),JEREISSATI I,17.0
ALTO ALEGRE II (MARACANAU),JEREISSATI II,17.0
ALTO ALEGRE II (MARACANAU),JEREISSATI III,20.0
ALTO ALEGRE II (MARACANAU),LUZARDO VIANA(MARACANAU),20.0
ALTO ALEGRE II (MARACANAU),NORTH SHOPPING MARACANAU,17.0
ALTO ALEGRE II (MARACANAU),NOVO MARACANAU,17.0
ALTO ALEGRE II (MARACANAU),PARQUE SAO JOSE,20.0
ALTO ALEGRE II (MARACANAU),PIRATININGA(MARACANAU),17.0
ALTO ALEGRE II (MARACANAU),TIMBO (MARACANAU),17.0
ALTO ALEGRE I (MARACANAU),ALTO ALEGRE (MESSEJANA),35.0
ALTO ALEGRE I (MARACANAU),ALTO DA MANGUEIRA,15.0
ALTO ALEGRE I (MARACANAU),ARACAPE,20.0
ALTO ALEGRE I (MARACANAU),BAIRRO DE FATIMA,40.0
ALTO ALEGRE I (MARACANAU),CANINDEZINHO,20.0
ALTO ALEGRE I (MARACANAU),CASTELAO,35.0
ALTO ALEGRE I (MARACANAU),CONJUNTO ESPERANCA,15.0
ALTO ALEGRE I (MARACANAU),HENRIQUE JORGE,25.0
ALTO ALEGRE I (MARACANAU),HORTO (MARACANAU),20.0
ALTO ALEGRE I (MARACANAU),HOSPITAL MARACANAU,15.0
